Player,Weekly Wage
Shola Shoretire,"5000"
Conor Coventry,"5000"
Tim Iroegbunam,"5000"
Joe Hodge,"5000"
Noha Lemina,"5000"
Tom King,"5000"
Maxime Estève,"5000"
Lewis Miley,"5000"
Myles Peart-Harris,"5000"
Yegor Yarmolyuk,"5000"
Tyler Onyango,"5000"
Jordan Clark,"5000"
Daniel Jebbison,"4000"
Rhys Norrington-Davies,"4000"
Divin Mubama,"4000"
Joseph Anang,"4000"
Enock Agyei,"4000"
Alex Mighten,"3462"
Denis Franchi,"3000"
Jordan Beyer,"3000"
James Hill,"3000"
Ryan Trevitt,"2500"
Elliot Thorpe,"2500"
Gavin Kilkenny,"1500"
Louie Marsh,"1000"
