Player,Cmp,Att_Total,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,P_Final3rd,PPA,CrsPA,PrP
Antonee Robinson,1514,2054,73.7,27304,9830,6,4.2,3.7,1.8,33,113,46,26,129
Harvey Elliott,825,986,83.7,13081,3101,6,3.5,4.6,2.5,37,76,45,11,128
Youri Tielemans,789,949,83.1,12925,4025,6,2.6,2.2,3.4,18,101,25,1,128
Pau Torres,1562,1788,87.4,29096,9616,0,0.4,0.7,-0.4,8,141,12,1,128
Marcos Senesi,1005,1297,77.5,21763,9395,5,1.7,2.5,3.3,22,156,31,11,127
Bukayo Saka,1143,1512,75.6,16891,4402,9,10.5,11,-1.5,91,39,73,12,126
Emerson Palmieri,1421,1745,81.4,19356,7676,2,2.4,2.1,-0.4,25,89,22,7,125
Diogo Dalot,1486,1830,81.2,24927,8066,3,2.9,2.4,0.1,37,107,31,16,124
Josh Cullen,1173,1373,85.4,18812,4917,3,1.8,2.3,1.2,26,119,17,3,123
Vitaly Janelt,1088,1398,77.8,17534,5211,3,4.8,3.7,-1.8,37,107,32,15,123
Mathias Jensen,875,1202,72.8,17423,6338,3,4,4.8,-1,41,88,41,11,123
Dara O'Shea,1393,1759,79.2,27584,10235,4,2,1,2,13,139,6,3,122
Vladimír Coufal,1154,1665,69.3,18778,9229,7,4,3,3,33,98,38,21,119
Ibrahima Konaté,1286,1463,87.9,22733,9043,0,0.4,0.5,-0.4,8,145,8,0,118
Max Kilman,1979,2309,85.7,36846,13119,0,1.4,1.1,-1.4,17,109,11,1,117
Gabriel Magalhães,1914,2157,88.7,32123,10388,0,0.7,0.7,-0.7,3,143,9,1,117
Nathan Aké,1716,1864,92.1,26189,8717,2,1.2,1.1,0.8,10,148,5,1,116
Dwight McNeil,874,1266,69,14956,5035,6,8.8,8.2,-2.8,69,72,54,20,114
Luis Díaz,898,1075,83.5,13772,2931,5,5.7,4.7,-0.7,64,62,45,3,113
Casemiro,1165,1425,81.8,20136,7677,2,1,1.2,1,16,124,18,3,112
Axel Disasi,2031,2256,90,34081,11464,0,0.3,1,-0.3,3,115,8,1,112
Kevin De Bruyne,732,971,75.4,11555,3364,10,11.5,7.1,-1.5,59,67,56,12,111
Pablo Sarabia,684,976,70.1,11034,3731,7,5.9,4.9,1.1,51,59,40,6,109
Illia Zabarnyi,1471,1805,81.5,30757,10546,0,0.4,0.6,-0.4,7,127,11,0,109
Micky van de Ven,1698,1810,93.8,29840,10172,0,0,0.3,0,1,121,3,0,108
Igor,1398,1497,93.4,21855,7143,0,0.7,0.5,-0.7,7,123,2,0,107
Amadou Onana,871,1036,84.1,14568,4039,0,2.7,1.4,-2.7,18,102,14,1,107
Alfie Doughty,1121,1686,66.5,20956,8325,8,6.3,5.4,1.7,70,71,43,24,106
Jefferson Lerma,1018,1250,81.4,15825,5095,1,2.2,2,-1.2,24,109,20,3,106
